,Sq_Ft_Tot_Living,Sq_Ft_Lot,Bathroom_count,Bedroom_count,Bldg_Grade,Property_Type,Nbr_Living_Units,Sq_Ft_Fin_Basement,Yr_Built,Yr_Renovated,Newly_Construction,House_Sale_Price
45,1850,4597,2.5,3,8,Single Family,1,0,2003,0,False,399101.0
46,1850,4597,2.5,3,8,Single Family,1,0,2003,0,False,277671.0
47,920,5085,1.0,3,7,Single Family,1,0,1954,0,False,286265.0
50,1190,5635,1.0,3,7,Single Family,1,0,1922,0,False,294146.0
51,1290,4543,1.0,3,7,Single Family,1,0,1951,0,False,232692.0
52,2470,7800,2.25,4,8,Single Family,1,1000,1975,0,False,550142.0
53,2730,9030,2.5,5,8,Single Family,1,1260,1976,0,False,575747.0
54,1980,9800,2.75,4,8,Single Family,1,680,1976,0,False,612428.0
55,1470,9750,1.75,3,7,Single Family,1,0,1978,0,False,451523.0
56,2410,11000,2.5,4,7,Single Family,1,1040,1978,0,False,570862.0
57,1850,9200,2.0,3,7,Single Family,1,490,1977,0,False,466797.0
58,1690,7140,1.75,3,8,Single Family,1,0,1955,0,False,667157.0
59,1510,7140,1.5,3,8,Single Family,1,0,1955,0,False,642577.0
60,1500,8568,1.5,3,8,Single Family,1,0,1954,0,False,711375.0
61,3620,7821,3.5,5,10,Single Family,1,830,1958,2010,False,704518.0
62,3620,7821,3.5,5,10,Single Family,1,830,1958,2010,False,1774213.0
63,3060,8736,2.5,3,8,Single Family,1,1530,1956,0,False,863533.0
64,1240,4000,2.0,3,6,Single Family,1,620,1918,2012,False,488832.0
65,1490,5320,1.75,3,8,Single Family,1,250,1962,0,False,464683.0
66,1790,5098,2.5,3,9,Single Family,1,980,2005,0,True,753314.0
67,1790,5098,2.5,3,9,Single Family,1,980,2005,0,False,858177.0
68,2230,5460,3.25,3,8,Single Family,1,800,1977,0,False,717316.0
70,760,4320,1.0,2,6,Single Family,1,0,1941,0,False,334020.0
71,2080,7980,1.75,3,7,Single Family,1,0,1937,0,False,386288.0
72,1180,5320,1.75,3,7,Single Family,1,0,1968,0,False,368105.0
73,1130,8631,1.75,3,7,Single Family,1,0,1955,0,False,304554.0
74,2130,8428,2.5,5,7,Single Family,1,0,2013,0,True,396797.0
75,780,16344,1.0,2,5,Single Family,1,0,1942,0,False,85269.0
76,1800,7288,2.5,3,8,Single Family,1,0,2007,0,True,433538.0
77,2100,7920,2.0,4,7,Single Family,1,1050,1967,0,False,305942.0
78,1400,19570,1.0,2,6,Single Family,1,300,1929,0,False,251036.0
79,700,8140,1.0,1,6,Single Family,1,0,1943,0,False,206648.0
80,5050,19350,3.75,5,9,Single Family,1,2500,1959,0,False,566817.0
81,880,9000,1.0,2,5,Single Family,1,0,1928,0,False,190438.0
82,880,9000,1.0,2,5,Single Family,1,0,1928,0,False,116525.0
83,2730,10498,2.5,4,8,Single Family,1,0,2002,0,False,492882.0
84,1500,9282,1.0,5,6,Single Family,1,0,1966,0,False,234090.0
85,1970,10080,1.5,3,7,Single Family,1,0,1966,0,False,220187.0
86,3670,9180,4.25,6,10,Single Family,1,0,2008,0,False,272553.0
87,5000,26540,3.5,5,10,Single Family,1,1590,2008,0,False,2227361.0
88,5050,16240,3.25,4,11,Single Family,1,1200,1987,0,False,2013466.0
89,6210,16750,5.5,5,11,Single Family,1,0,2009,0,False,3826741.0
90,2220,8040,1.75,4,7,Single Family,1,1110,1955,0,False,305270.0
91,1250,7201,1.75,3,6,Single Family,1,0,1983,0,False,211725.0
92,1420,8336,1.5,3,7,Single Family,1,310,1955,0,False,406868.0
93,2160,8285,2.5,4,7,Single Family,1,0,1963,0,False,422651.0
94,1150,7984,1.0,3,7,Single Family,1,0,1961,0,False,348005.0
95,2520,13042,3.0,5,8,Single Family,1,0,2003,0,False,451036.0
96,2180,9520,2.5,4,8,Single Family,1,0,2004,0,False,436969.0
97,1900,8408,2.5,4,8,Single Family,1,0,2004,0,False,351664.0
98,3340,15295,2.5,4,10,Single Family,1,0,1990,0,False,621115.0
99,2480,13125,2.5,5,8,Single Family,1,880,1977,0,False,386081.0
111,2600,5875,2.75,3,8,Single Family,1,1000,1929,0,False,815493.0
112,1560,5000,1.75,2,7,Single Family,1,780,1936,0,False,690928.0
113,2880,5000,2.0,4,8,Single Family,1,1440,1941,0,False,626137.0
114,1830,3440,1.5,3,8,Single Family,1,220,1941,0,False,704060.0
115,2480,6000,1.75,5,7,Single Family,1,1240,1955,0,False,548650.0
116,1810,7045,2.5,4,7,Single Family,1,360,1988,0,False,422578.0
117,1590,6300,1.75,3,7,Single Family,1,930,1925,0,False,454043.0
118,1850,6550,2.0,3,7,Single Family,1,0,1985,0,False,433979.0
119,1810,6550,1.5,3,7,Single Family,1,0,1950,0,False,316632.0
120,2210,6600,2.5,4,8,Single Family,1,790,1943,2011,False,320102.0
121,1680,6500,1.75,3,7,Single Family,1,590,1944,0,False,523908.0
122,1810,6550,1.5,3,7,Single Family,1,770,1928,0,False,505217.0
123,1370,6550,1.75,3,6,Single Family,1,600,1914,0,False,395033.0
124,1370,6550,1.75,3,6,Single Family,1,600,1914,0,False,452454.0
125,1720,6550,2.0,4,7,Single Family,1,700,1975,0,False,503121.0
126,1080,6419,1.0,2,6,Single Family,1,300,1918,0,False,325614.0
127,2810,4109,3.0,4,8,Single Family,1,1060,1918,2013,False,715491.0
128,2110,4109,1.75,4,7,Single Family,1,970,1924,0,False,597773.0
129,2110,4109,1.75,4,7,Single Family,1,970,1924,0,False,685589.0
130,1180,5040,1.0,2,6,Single Family,1,0,1942,0,False,228138.0
131,1100,9452,1.75,3,6,Single Family,1,0,1942,0,False,170693.0
132,1260,11475,1.0,4,6,Single Family,1,0,1942,0,False,330257.0
133,2930,10450,2.5,7,7,Single Family,1,840,1950,0,False,210434.0
134,1370,18090,1.0,3,6,Single Family,1,0,1947,0,False,285250.0
135,1980,7800,2.5,3,8,Single Family,1,0,1999,0,False,424456.0
136,1980,7800,2.5,3,8,Single Family,1,0,1999,0,False,381423.0
137,1270,29800,0.75,2,6,Single Family,1,0,1949,1990,False,419649.0
138,1320,8500,1.5,3,7,Single Family,1,0,2003,0,False,304210.0
139,1530,4761,1.5,3,7,Single Family,1,300,1925,0,False,572063.0
140,1590,4000,1.0,4,7,Single Family,1,0,1907,0,False,545179.0
141,2280,6000,2.5,4,8,Single Family,1,930,1980,0,False,931588.0
142,3080,4000,2.5,5,8,Single Family,1,1020,1925,0,False,868994.0
153,5210,12946,3.25,4,11,Single Family,1,0,2002,0,False,1061210.0
154,4610,17584,4.0,5,11,Single Family,1,0,2004,0,False,1177892.0
155,4930,22093,4.0,4,12,Single Family,1,0,2004,0,False,1631840.0
156,4960,17771,4.0,4,12,Single Family,1,0,2006,0,True,1597457.0
157,5240,15400,4.25,5,12,Single Family,1,0,2007,0,True,1788419.0
158,4950,14942,4.25,5,11,Single Family,1,0,2006,0,True,1533835.0
159,4630,14205,3.5,4,11,Single Family,1,0,2003,0,False,1041801.0
160,3550,15151,3.75,4,11,Single Family,1,0,2004,0,False,989842.0
161,3550,15151,3.75,4,11,Single Family,1,0,2004,0,False,928058.0
162,4540,19098,3.5,5,11,Single Family,1,0,2003,0,False,1159192.0
163,5210,16531,3.25,4,11,Single Family,1,0,2002,0,False,1219048.0
164,4460,16271,3.5,4,11,Single Family,1,0,2001,0,False,1125773.0
165,4220,17679,4.25,4,11,Single Family,1,0,2001,0,False,1196462.0
166,4840,15783,3.5,4,11,Single Family,1,0,2006,0,True,1513784.0
167,4160,15644,4.5,4,11,Single Family,1,0,2004,0,False,1074694.0
168,4330,15709,3.5,4,11,Single Family,1,0,2005,0,False,1205871.0
169,4630,14479,4.5,4,11,Single Family,1,0,2005,0,True,1425913.0
170,3950,14837,3.5,4,11,Single Family,1,0,2006,0,True,1253603.0
171,3720,7338,4.25,5,10,Single Family,1,0,2004,0,True,1042669.0
172,3550,7845,3.5,4,10,Single Family,1,0,2004,0,False,897141.0
173,3150,7121,2.5,4,10,Single Family,1,0,2005,0,False,786246.0
174,3210,8938,2.5,4,10,Single Family,1,0,2005,0,False,762969.0
175,3230,7331,2.5,4,10,Single Family,1,0,2004,0,False,766295.0
176,3320,8030,3.75,4,10,Single Family,1,0,2005,0,True,941612.0
177,4070,8727,3.5,4,10,Single Family,1,0,2005,0,True,982280.0
178,3740,6998,3.5,4,10,Single Family,1,0,2005,0,False,837400.0
179,3190,7380,4.25,5,10,Single Family,1,0,2005,0,True,915756.0
180,3280,7422,3.25,4,10,Single Family,1,0,2005,0,True,965576.0
181,5090,9379,4.5,6,10,Single Family,1,1470,2005,0,False,1094078.0
182,3100,9924,2.75,4,10,Single Family,1,0,2006,0,True,782636.0
183,3280,8448,4.0,4,10,Single Family,1,0,2007,0,True,987408.0
184,3510,12297,3.5,4,10,Single Family,1,0,2008,0,True,981467.0
185,3510,12297,3.5,4,10,Single Family,1,0,2008,0,False,980305.0
186,3500,9473,3.5,3,10,Single Family,1,0,2008,0,True,974910.0
187,3490,6565,3.25,4,10,Single Family,1,0,2005,0,True,843907.0
188,4100,11736,3.5,4,10,Single Family,1,0,2006,0,False,936207.0
189,3550,9750,3.75,4,10,Single Family,1,0,2005,0,False,910956.0
190,3780,10145,2.5,4,10,Single Family,1,0,2006,0,True,839124.0
191,3150,12364,2.5,4,10,Single Family,1,0,2006,0,True,807122.0
192,3480,7339,2.5,4,10,Single Family,1,0,2006,0,True,828132.0
193,4100,8074,3.75,5,10,Single Family,1,0,2006,0,False,919943.0
194,4100,8074,3.75,5,10,Single Family,1,0,2006,0,False,1041136.0
195,4100,8860,3.5,4,10,Single Family,1,0,2006,0,True,921812.0
196,4070,10365,3.5,4,10,Single Family,1,0,2006,0,False,924409.0
197,3560,6098,3.5,4,10,Single Family,1,0,2006,0,True,900645.0
198,3480,6635,3.5,4,10,Single Family,1,0,2006,0,True,992871.0
199,3730,8629,3.0,4,10,Single Family,1,0,2006,0,True,835740.0
200,3200,6866,2.75,5,10,Single Family,1,0,2007,0,True,788918.0
201,3200,6866,2.75,5,10,Single Family,1,0,2007,0,False,767704.0
202,3490,7024,3.25,4,10,Single Family,1,0,2006,0,True,833233.0
203,3830,8131,3.75,5,10,Single Family,1,0,2005,0,True,850304.0
204,3880,7208,2.5,4,10,Single Family,1,0,2006,0,True,832269.0
205,3880,7208,2.5,4,10,Single Family,1,0,2006,0,False,771793.0
206,3490,7180,3.25,4,10,Single Family,1,0,2006,0,True,793098.0
207,3200,6713,2.75,5,10,Single Family,1,0,2006,0,True,772969.0
224,1990,8463,2.25,4,7,Single Family,1,0,1996,0,False,388472.0
225,2960,7813,3.5,5,7,Single Family,1,920,1996,0,False,370033.0
226,970,7500,1.0,3,7,Single Family,1,0,1969,0,False,235634.0
227,1230,7504,2.0,4,6,Single Family,1,0,1970,0,False,260729.0
228,1220,8908,1.75,3,7,Single Family,1,170,1976,0,False,354122.0
229,1820,7440,2.5,4,7,Single Family,1,780,1975,0,False,316893.0
230,1470,7480,2.5,3,7,Single Family,1,420,1977,0,False,315316.0
231,1750,7840,1.75,4,7,Single Family,1,0,1977,0,False,246166.0
232,2870,8410,2.5,3,10,Single Family,1,1090,1998,0,False,961346.0
233,2070,5500,1.75,3,7,Single Family,1,940,1946,0,False,584161.0
234,1590,7748,2.25,3,7,Single Family,1,0,1991,0,False,309841.0
235,2040,7350,2.5,3,7,Single Family,1,0,1990,0,False,333516.0
236,2040,7350,2.5,3,7,Single Family,1,0,1990,0,False,271472.0
237,1660,7606,2.25,3,7,Single Family,1,0,1989,0,False,308361.0
238,1620,7208,1.75,3,7,Single Family,1,0,1981,0,False,235370.0
239,1660,7334,2.75,4,7,Single Family,1,530,1983,0,False,265439.0
240,1500,7854,2.0,4,7,Single Family,1,0,1983,0,False,322894.0
241,1540,7210,2.0,3,7,Single Family,1,0,1984,0,False,313160.0
242,1750,7210,2.5,3,7,Single Family,1,0,1985,0,False,350124.0
243,1730,7224,2.75,3,7,Single Family,1,0,1985,0,False,309561.0
244,1140,6974,1.75,3,7,Single Family,1,0,1986,0,False,285183.0
245,1230,6000,1.75,3,7,Single Family,1,0,1987,0,False,314461.0
246,1700,5995,2.25,3,7,Single Family,1,0,1986,0,False,342142.0
247,1430,5999,2.25,3,7,Single Family,1,0,1987,0,False,298411.0
248,1260,7077,2.0,3,7,Single Family,1,0,1988,0,False,272432.0
249,1610,6650,2.0,4,7,Single Family,1,0,1989,0,False,318093.0
250,1990,6671,2.5,4,7,Single Family,1,0,1989,0,False,290051.0
251,2330,7802,2.75,4,8,Single Family,1,0,1992,0,False,404951.0
252,1890,6866,2.25,4,8,Single Family,1,0,1992,0,False,382951.0
253,860,8168,1.0,2,6,Single Family,1,0,1948,0,False,351485.0
254,1200,8168,2.0,3,6,Single Family,1,0,1948,0,False,514846.0
255,1200,8168,2.0,3,6,Single Family,1,0,1948,0,False,537096.0
256,1300,8395,1.75,3,6,Single Family,1,0,1948,0,False,482617.0
257,850,8391,1.0,2,6,Single Family,1,0,1948,0,False,364912.0
258,1410,8053,1.0,3,7,Single Family,1,0,1951,0,False,449518.0
259,1340,1654,1.5,2,8,Townhouse,1,0,2009,0,False,372178.0
260,1820,2900,3.5,4,8,Townhouse,1,0,2009,0,True,465222.0
261,1290,2290,2.5,3,8,Townhouse,1,0,2005,0,False,374028.0
262,1440,1975,2.5,3,8,Townhouse,1,0,2006,0,True,415120.0
264,1830,7272,1.75,3,8,Single Family,1,440,1979,0,False,317669.0
265,2240,7000,2.25,3,8,Single Family,1,600,1981,0,False,335443.0
266,1480,3900,1.75,3,7,Single Family,1,0,1980,0,False,264248.0
267,1490,6800,2.5,3,7,Single Family,1,360,1987,0,False,317033.0
268,1940,5950,1.75,3,8,Single Family,1,460,1979,0,False,333243.0
269,2010,7500,2.75,3,8,Single Family,1,680,1983,0,False,345745.0
270,1910,6930,2.5,3,7,Single Family,1,440,1981,0,False,306716.0
271,1570,9904,2.25,2,7,Single Family,1,600,1983,0,False,348816.0
272,2120,7201,2.5,5,7,Single Family,1,860,2012,0,False,101306.0
273,2110,7561,2.5,5,7,Single Family,1,820,2012,0,False,101306.0
274,1400,10101,2.0,4,6,Single Family,1,700,1942,0,False,236359.0
275,780,9750,1.0,2,6,Single Family,1,0,1937,0,False,152044.0
277,1620,5031,2.5,3,7,Single Family,1,0,2000,0,False,381476.0
278,1620,5992,2.5,3,7,Single Family,1,0,2001,0,False,369187.0
279,1980,4643,2.25,3,7,Single Family,1,0,2001,0,False,427214.0
280,1980,4643,2.25,3,7,Single Family,1,0,2001,0,False,423390.0
281,1960,4354,2.25,3,7,Single Family,1,0,2000,0,False,400294.0
282,1510,3577,2.25,3,7,Single Family,1,0,2000,0,False,395083.0
283,920,33300,1.0,2,7,Single Family,1,0,1946,0,False,502465.0
284,2680,7727,2.5,3,9,Single Family,1,0,2007,0,True,584979.0
285,2570,5267,2.5,4,9,Single Family,1,0,2007,0,False,557591.0
286,1410,9584,1.0,3,7,Single Family,1,0,1951,0,False,362107.0
287,3930,44083,4.5,7,10,Multiplex,3,1720,1992,0,False,658562.0
288,1560,8456,1.75,3,7,Single Family,1,0,1970,0,False,449611.0
289,2800,21370,2.5,4,8,Single Family,1,0,2003,0,False,601441.0
290,1090,10296,1.0,3,6,Single Family,1,0,1950,0,False,309377.0
293,1210,13167,1.0,2,6,Single Family,1,0,1949,0,False,352067.0
294,1040,15000,0.75,3,6,Single Family,1,0,1941,0,False,302417.0
295,1170,9848,1.5,3,7,Single Family,1,0,1963,0,False,253082.0
297,1360,9695,1.75,3,7,Single Family,1,300,1969,0,False,238190.0
298,1960,3565,4.25,4,7,Single Family,1,0,1940,2003,False,601304.0
299,2160,5750,1.75,3,7,Single Family,1,1080,1909,0,False,659699.0
300,2160,5750,1.75,3,7,Single Family,1,1080,1909,0,False,660497.0
301,2880,435191,3.0,4,9,Single Family,1,1200,1965,0,False,802133.0
302,1200,58411,1.75,3,7,Single Family,1,0,1978,0,False,291312.0
303,2750,18910,2.5,5,8,Single Family,1,1100,1967,0,False,455815.0
304,1200,43560,1.0,4,6,Single Family,1,0,1968,0,False,277024.0
305,2500,35245,2.75,3,7,Single Family,1,920,2000,0,False,460754.0
307,910,5000,1.0,2,7,Single Family,1,0,1924,0,False,421647.0
308,1190,5000,2.0,2,7,Single Family,1,0,1915,0,False,472670.0
309,660,4000,1.0,2,5,Single Family,1,0,1935,0,False,184397.0
310,1260,4196,1.0,3,7,Single Family,1,600,1942,0,False,338759.0
311,1200,6800,1.75,3,7,Single Family,1,0,1990,0,False,298752.0
312,1240,29228,1.0,2,6,Single Family,1,0,1939,0,False,351845.0
313,620,8261,1.0,2,5,Single Family,1,0,1939,0,False,160944.0
314,970,13700,1.0,2,7,Single Family,1,0,1949,0,False,369046.0
315,840,7874,1.0,2,6,Single Family,1,0,1956,0,False,288445.0
316,1300,7200,1.0,3,7,Single Family,1,0,1952,0,False,338131.0
317,2110,14000,2.0,5,6,Single Family,1,820,1944,0,False,421954.0
318,1570,10000,2.0,5,6,Single Family,1,0,1953,0,False,311431.0
319,2620,8803,2.75,5,8,Single Family,1,0,2008,0,False,470856.0
320,1310,21534,1.5,3,7,Single Family,1,0,1961,0,False,454223.0
321,2280,4320,2.5,4,7,Single Family,1,890,2015,0,False,110965.0
322,2190,220414,2.25,3,7,Single Family,1,860,1976,0,False,449611.0
323,2600,51836,2.5,4,8,Single Family,1,800,1987,0,False,555489.0
324,2500,43560,2.75,4,8,Single Family,1,1200,1977,0,False,520193.0
325,1800,13187,2.5,3,9,Single Family,1,0,1975,0,False,686003.0
326,3370,9411,2.25,4,10,Single Family,1,0,1988,0,False,1363472.0
327,1230,2726,1.0,2,7,Single Family,1,350,1920,0,False,579141.0
328,1550,3680,1.75,3,7,Single Family,1,500,1927,0,False,485053.0
329,1420,3750,1.0,3,7,Single Family,1,0,1927,0,False,651746.0
330,1240,4000,1.0,3,7,Single Family,1,0,1930,0,False,492677.0
331,5150,963702,3.75,4,11,Single Family,1,790,1997,0,False,2348082.0
332,4700,8212,4.75,7,8,Single Family,1,1580,1980,2010,False,583657.0
333,2130,9800,2.5,4,7,Single Family,1,600,1959,0,False,428615.0
334,1840,11367,1.5,4,7,Single Family,1,0,1950,0,False,451988.0
338,2060,10911,1.75,5,7,Single Family,1,700,1954,0,False,415956.0
339,2020,10200,1.0,5,8,Single Family,1,480,1959,0,False,400452.0
341,860,9306,1.0,2,6,Single Family,1,0,1942,0,False,280645.0
342,2100,9004,3.0,4,7,Single Family,1,250,1903,2010,False,398180.0
344,1830,8800,2.25,3,8,Single Family,1,440,1991,0,False,439830.0
348,1170,30964,1.0,3,7,Single Family,1,0,1946,0,False,452078.0
349,1830,27468,1.75,3,7,Single Family,1,0,1954,0,False,418156.0
350,2510,31500,2.75,4,8,Single Family,1,510,1930,2011,False,911681.0
351,2300,14928,2.75,4,7,Single Family,1,840,1978,0,False,404211.0
352,1720,10400,2.5,3,8,Single Family,1,420,1992,0,False,393905.0
353,1530,10731,1.75,3,7,Single Family,1,0,1986,0,False,386890.0
357,1880,45738,1.75,3,8,Single Family,1,470,1980,0,False,553124.0
358,2450,52648,3.0,4,8,Single Family,1,480,1999,0,False,686149.0
359,1130,6500,1.0,3,6,Single Family,1,0,1948,0,False,382038.0
360,2180,4500,2.75,4,7,Single Family,1,810,2004,0,False,301716.0
361,1570,4774,2.5,3,7,Single Family,1,0,2003,0,False,297944.0
362,2020,5000,2.5,4,7,Single Family,1,0,2003,0,False,286726.0
363,1110,8000,2.0,2,7,Single Family,1,0,1937,0,False,317267.0
364,1620,9450,2.25,3,7,Single Family,1,0,1928,0,False,288176.0
365,1690,14746,1.0,2,6,Single Family,1,490,1948,0,False,314434.0
366,2450,7667,4.0,4,7,Multiplex,3,1190,1920,0,False,235345.0
367,1540,2775,1.0,2,6,Single Family,1,650,1952,0,False,366972.0
368,2000,2500,2.5,2,8,Single Family,1,190,1994,0,False,644400.0
369,1970,6000,1.75,3,8,Single Family,1,880,1910,1970,False,616996.0
370,1970,6000,1.75,3,8,Single Family,1,880,1910,1970,False,671990.0
371,1680,6435,2.0,4,6,Multiplex,2,760,1920,0,False,826554.0
372,2100,4440,2.5,3,7,Multiplex,3,0,1945,0,False,809863.0
373,2600,6050,2.75,4,8,Single Family,1,640,1949,0,False,782239.0
374,2620,4844,1.5,3,8,Single Family,1,910,1927,0,False,662588.0
377,3090,8239,3.75,4,9,Single Family,1,1000,1925,0,False,914738.0
378,2440,7042,2.75,4,7,Single Family,2,800,1941,0,False,813115.0
379,2790,4296,2.5,3,9,Single Family,1,0,2007,0,False,899900.0
380,2580,7900,3.0,3,9,Single Family,1,1050,1961,0,False,754264.0
381,2340,4800,2.75,3,8,Single Family,1,400,1947,1991,False,814289.0
382,3070,4440,3.5,4,9,Single Family,1,1040,1922,2007,False,1034548.0
383,2110,4718,2.75,3,7,Multiplex,3,500,1951,0,False,903860.0
384,2380,1838,3.25,3,10,Townhouse,1,500,2005,0,False,1098056.0
385,2970,13345,3.5,4,10,Single Family,1,510,1993,0,False,1239648.0
386,2850,4497,2.0,4,7,Single Family,1,1120,1910,0,False,729907.0
387,3020,9244,3.25,4,10,Single Family,1,600,1989,0,False,843823.0
388,1700,6342,1.75,3,6,Single Family,2,0,1923,0,False,364001.0
389,1240,10500,1.0,2,7,Single Family,1,0,1936,0,False,420152.0
390,2780,7875,3.25,4,9,Single Family,1,0,2006,0,False,314754.0
391,2780,7875,3.25,4,9,Single Family,1,0,2006,0,True,760048.0
392,980,7228,1.0,3,7,Single Family,1,0,1946,0,False,352259.0
393,1440,7980,2.5,3,7,Single Family,1,0,1979,0,False,449620.0
394,2080,7350,2.25,3,7,Single Family,1,830,1990,0,False,523492.0
395,860,9167,1.0,1,6,Single Family,1,0,1934,0,False,451988.0
398,2950,4382,3.25,4,9,Single Family,1,820,2000,0,False,856462.0
401,1370,1363,2.25,3,8,Townhouse,1,0,2009,0,True,359669.0
402,2620,7632,2.5,3,9,Single Family,1,0,2006,0,True,730754.0
405,1240,9375,1.5,3,7,Single Family,1,0,1955,0,False,330964.0
406,1570,8304,1.0,4,7,Single Family,1,0,1905,0,False,346922.0
408,1190,3000,2.5,3,7,Single Family,1,0,2002,0,False,337090.0
409,840,3000,1.0,3,5,Single Family,1,0,1943,0,False,156905.0
411,2640,7000,3.0,5,7,Single Family,1,1130,2010,0,False,289603.0
413,2520,4500,2.5,3,8,Single Family,1,0,2009,0,True,384584.0
414,2480,4500,2.5,4,8,Single Family,1,0,2010,0,True,400414.0
415,1810,17700,1.0,3,6,Single Family,1,800,1941,2009,False,296414.0
416,1880,7500,2.0,4,6,Single Family,1,900,1946,0,False,301575.0
417,1880,7500,2.0,4,6,Single Family,1,900,1946,0,False,220776.0
418,2330,7043,2.5,3,8,Single Family,1,870,1976,0,False,571604.0
419,2600,9525,2.5,4,8,Single Family,1,1300,1970,0,False,954916.0
420,2250,10160,2.5,4,9,Single Family,1,0,1967,0,False,952747.0
421,2790,10125,3.5,4,8,Single Family,1,0,1985,0,False,881341.0
422,2790,10125,3.5,4,8,Single Family,1,0,1985,0,False,843908.0
423,1920,9525,2.25,5,8,Single Family,1,130,1961,0,False,669774.0
424,2910,9525,2.75,4,8,Single Family,1,0,1965,0,False,864609.0
426,2910,10125,2.75,4,8,Single Family,1,990,1963,2004,False,938451.0
427,3160,9525,3.75,4,10,Single Family,1,0,1997,0,False,1251497.0
428,3160,9525,3.75,4,10,Single Family,1,0,1997,0,False,1438271.0
429,1910,9525,2.75,3,7,Single Family,1,0,1990,0,False,733599.0
430,3570,9525,3.5,4,10,Single Family,1,0,2004,0,False,1644242.0
431,2250,9525,2.25,4,8,Single Family,1,0,1966,0,False,866095.0
432,2160,11430,2.5,3,8,Single Family,1,0,1959,2009,False,1113360.0
433,1510,14276,0.75,4,8,Single Family,1,640,1968,0,False,456064.0
434,1140,20383,1.5,3,7,Single Family,1,300,1985,0,False,355732.0
435,1100,15258,1.5,3,7,Single Family,1,0,1985,0,False,345795.0
436,1960,15200,1.0,3,7,Single Family,1,0,1986,0,False,412209.0
437,1140,18678,1.0,3,7,Single Family,1,0,1985,0,False,362583.0
438,1738,2796,2.5,4,7,Single Family,1,682,2005,0,False,269294.0
439,1430,15611,1.5,3,6,Single Family,1,600,1918,0,False,282402.0
440,2070,25710,2.5,3,6,Single Family,1,0,1917,0,False,193910.0
441,1240,10887,1.75,3,6,Single Family,1,0,1987,0,False,298976.0
